Data_ID,User_ID,Gender,Age,MBTI,Q_number,Answer
48,1,1,30,INFP,48,<중립> 체면을 살려주기 위해 노력하진 않지만 조용히 넘어가는 편입니다. 괜히 감정 상하게 하고 싶지 않습니다
61,2,1,40,ESTJ,1,<중립> 저는 일부러 만들려고 노력하지는 않아요. 생활하면서 자연스럽게 만들어지는 건 좋아해요.
62,2,1,40,ESTJ,2,<그렇다> 저는 관심사가 정말 다앙햐게 많아요. 요즘은 건강을 위해서 자전거를 배워서 다양한 자전거를 알게 되었고 구입하기도 했어요.
63,2,1,40,ESTJ,3,<그렇다> 저는 다른 사람이 우는 모습만 봐도 눈물이 흘러요. 이유는 감정이입이 잘 되는 것 같아 똑같이 슬픈 것 같아요.
64,2,1,40,ESTJ,4,<그렇다> 저는 항상 잘못되었을 때를 대비해서 차선책을 준비하고 있어요. 그렇지 않으면 마음이 불안하고 어렸을 때부터 습관이기도 합니다.
65,2,1,40,ESTJ,5,<아니다> 평정심을 가지려고 노력은 하지만 잘 되지는 않아요. 얼마 전 컴퓨터 업무를 하는데 오류가 생겨서 시간에 쫓기는 일이 있었는데 마음이 너무 급했어요.
66,2,1,40,ESTJ,6,<아니다> 저는 먼저 인사를 하는 편이에요. 서로 머뭇거리는 상황이 싫어서 차라리 먼저 인사하고 이야기 나누는 게 편해요.
67,2,1,40,ESTJ,7,<그렇다> 저는 한 가지를 완료하는 편이에요. 여러 가지 일을 벌여 놓으면 마음이 복잡해져서 하나씩 완료하고 있어요.
68,2,1,40,ESTJ,8,<중립> 저는 사람들과 이야기할 때 굉장히 현실적이에요. 하지만 혼자 생각에 잠기면 가끔은 감상적일 때도 있어요.
69,2,1,40,ESTJ,9,<그렇다> 저는 모든 일에 계획을 세우고 있어요. 휴대전화기에 계획표를 사용하고 기록하고 있어요.
70,2,1,40,ESTJ,10,<중립> 저는 2-3년 전만 해도 실수를 하면 제 능력을 의심했어요. 지금은 조금은 마음의 여유를 가지려 노력하고 있어서인지 누구나 실수할 수도 있다고 생각하고 있어요.
71,2,1,40,ESTJ,11,<중립> 처음에는 자리에 따라 어려울 수 있어요. 저를 이상한 사람으로 생각할 수도 있으니까요. 처음엔 어려울 수 있으나 말을 하기 시작하면 괜찮아요.
72,2,1,40,ESTJ,12,<아니다> 저는 이야기 나누는 걸 좋아해요. 특히 예술작품의 해석은 개개인마다 너무 다르기 때문에 다른 사람의 해석도 들어보고 싶어요.
73,2,1,40,ESTJ,13,<그렇다> 저는 굉장히 이성적인 편이에요. 감정에 따르다 보면 후회할 일이 생길 때가 있어서 이성에 맡기려 노력하고 있어요. 주변에서도 저를 그렇게 보는 것 같아요.
74,2,1,40,ESTJ,14,<아니다> 저는 무슨 일이든지 계획을 세우고 있어요. 특히 여행 갈 때 즉흥보다는 계획을 세워야 시간 낭비가 줄어들고 아쉽지 않아요.
75,2,1,40,ESTJ,15,<중립> 저는 가끔은 다른 사람이 저를 어떻게 생각할지 걱정할 때도 있어요. 내 멋대로 사는 게 아니라 함께 사는 사회이니까요.
76,2,1,40,ESTJ,16,<중립> 저는 단체 활동을 좋아해요. 가족들이나 친구들과 여행하는 걸 좋아하는데 코로나라는 특별한 상황으로 모임을 자주는 못하고 있어요.
77,2,1,40,ESTJ,17,<중립> 저는 결말이 애매하게 마무리가 되면 미완성형 같아요. 어느 정도는 결말을 제시해 줘야 조금이라도 제 해석이 가능하지만 너무 황당한 결말은 원치 않아요.
78,2,1,40,ESTJ,18,<그렇다> 저는 제 자신의 성공도 중요하지만 가족을 남이라고 지칭한다면 가족을 먼저 생각해요. 제가 성공한 멋진 모습도 중요하지만 가족의 성공을 볼 때 더 기뻐요.
79,2,1,40,ESTJ,19,<그렇다> 저는 관심사가 정말 많아요. 최근에 자전거 타기와 공예품 만드는 것도 시작했는데 하고 싶은 게 너무 많아서 계획을 세우지 않으면 엉망이 될 정도로 관심사가 많아요.
80,2,1,40,ESTJ,20,<중립> 저는 무슨 일을 시작할 때 걱정이 되기도 해요. 전에 잘못됐을 때의 경험이 있으니까요.
81,2,1,40,ESTJ,21,<아니다> 저는 지도자 역할을 어릴 적부터 한 적이 많아요. 서로 피하는 상황이 싫어서 그냥 제가 나서서 하기도 해요.
82,2,1,40,ESTJ,22,<아니다> 저는 다방면으로 예술쪽에 재능이 있어요. 실제로 전공도 예체능 전공이에요.
83,2,1,40,ESTJ,23,<아니다> 이성만 중시한다면 균형이 깨질 거예요. 무슨 일이든 감정과 이성이 균형이 맞아야 더 나은 세상이 된다고 생각합니다.
84,2,1,40,ESTJ,24,<그렇다> 저는 할 일이 있으면 우선적으로 하고 있어요. 집안일이 남아 있으면 마음이 편치 않아 쉬어도 푹 쉬지를 못합니다.
85,2,1,40,ESTJ,25,<아니다> 저는 논쟁을 벌이는 상황이 싫어요. 어떤 일이어도 논쟁이 아닌 타협을 원해요.
86,2,1,40,ESTJ,26,<아니다> 저는 다른 사람의 주의를 끌어 나를 바라봐도 괜찮아요. 많은 사람들이 저를 바라봐도 전혀 부끄럽지가 않아요.
87,2,1,40,ESTJ,27,<그렇다> 저는 감정 기복이 있어요. 화났을 때는 감정을 숨기지 못하고 화를 내다가 다시 생각해 보면 화낸 일이 후회될 때도 있어요.
88,2,1,40,ESTJ,28,<그렇다> 저는 시간과 돈과 물건을 효율적으로 사용하는 걸 좋아해요. 가족이 그렇지 못하면 화가 나요.
89,2,1,40,ESTJ,29,<아니다> 저는 해야 할 일을 우선적으로 하고 있어요. 최근에도 일이 여러 개이면 우선적으로 할 일부터 완료해야 마음이 편안해요.
90,2,1,40,ESTJ,30,<아니다> 저는 사후 세계에는 관심이 없어요. 어차피 경험해 보지도 못하고 기억에도 없는 사후세계에는 흥미를 못 느껴요.
91,2,1,40,ESTJ,31,<중립> 저는 가끔은 혼자 있고 싶어요. 그동안 바쁘게 생활하다 보니 혼자 조용히 있는 시간을 갖고 싶어요.
92,2,1,40,ESTJ,32,<중립> 저는 관심사에 따라 다르다고 생각해요. 제가 관심 있으면 흥미롭지만 그렇지 않으면 정말 지루해요.
93,2,1,40,ESTJ,33,<그렇다> 저는 다른 사람의 배경을 쉽게 공감해요. 누구나 다른 삶을 살고 있으니 다양한 배경을 공감하고 있어요.
94,2,1,40,ESTJ,34,<아니다> 저는 결정을 빨리 내리는 편이에요. 시간을 두고 바뀔 일이 아니면 빠른 결정을 하고 있어요.
95,2,1,40,ESTJ,35,<중립> 저는 결정한 것에 대해서 다시 고민할 때가 있어요. 빨리 결정하는 편이라서 잘한 것인지 생각할 때가 있어요. 특히 옷을 고를 때 그런 일이 있어요.
96,2,1,40,ESTJ,36,<그렇다> 저는 집에서 쉬는 시간에 흥미를 못 느껴요. 일주일의 피로는 밖에서 운동이나 가족 행사로 풀고 있어요.
97,2,1,40,ESTJ,37,<그렇다> 저는 다양한 예술 활동을 좋아해요. 미술관도 가고 특히 뮤지컬 관람은 기분이 많이 좋아져요.
98,2,1,40,ESTJ,38,<중립> 저는 다른 감정을 이해하기 힘들 때가 있어요. 자주는 아니지만 가끔은 별것도 아닌데 왜 그러지 의아할 때가 있어요.
99,2,1,40,ESTJ,39,<그렇다> 저는 계획하는 걸 좋아해요. 계획한.걸 모두 이루지 못해도 한 달 계획을 미리 세우고 구체적으로 하루 일과를 계획하는 걸 좋아해요.
100,2,1,40,ESTJ,40,<아니다> 저는 불안감도 자주 느껴요. 타고난 성향이 걱정을 많이 하고 미래에 대한 불안이 있는 것 같아요.
101,2,1,40,ESTJ,41,<그렇다> 저는 전화 통화보다는 만나는 걸 좋아해요. 전화로 이야기하다 보면 오해의 소지도 있고 오래 통화하는 걸 별로 좋아하지 않아요.
102,2,1,40,ESTJ,42,<아니다> 저는 다른 의견을 이해하려고는 합니다. 하지만 오랜 시간 이해하기보다는 이해가 안 되는 부분은 포기하는 게 마음이 편해요.
103,2,1,40,ESTJ,43,<중립> 저는 상화에 따라 다릅니다. 친구가 먼저 말을 하던지 제가 먼저 만나자고 하던지 그런 것보다는 자연스레 만나자는 이야기가 나옵니다.
104,2,1,40,ESTJ,44,<아니다> 계획에 따라 다르겠지만 다시 계획을 실천하기보다는 다른 계획을 이루기 위해 시간을 투자할 것이다.
105,2,1,40,ESTJ,45,"<그렇다> 저는 오래전 후회되는 일을 생각합니다. 어릴 적 더 저에게, 부모님께 열심히 못한 일을 후회하고 현재에 같은 실수를 하지 않으려고 생각합니다."
106,2,1,40,ESTJ,46,<그렇다> 저는 삶의 이유를 깊이 생각하지 않아요. 인간의 존재와 삶은 자연스레 흘러가는 것이고 누구나 똑같다고 생각해요.
107,2,1,40,ESTJ,47,<그렇다> 저는 감정과의 싸움에서 질 때가 많아요. 스스로 조절이 안되어 화낼 때가 있는데 주변 사람들도 저를 다혈질까지는 아니지만 비슷하게 보고 있을 거예요.
108,2,1,40,ESTJ,48,<중립> 저는 상대방의 잘못은 알고 있어야 한다고 생각해요. 하지만 잘못으로 상대방이 주눅 들거나 슬퍼하는 건 싫어요.
